Name	SMILES
NuBBE_1246 	Permeable
NuBBE_1247 	Non-Permeable
NuBBE_1248 	Non-Permeable
NuBBE_1249 	Non-Permeable
NuBBE_124 	Non-Permeable
NuBBE_1250 	Non-Permeable
NuBBE_1251 	Non-Permeable
NuBBE_1252 	Non-Permeable
NuBBE_1253 	Permeable
NuBBE_1254 	Permeable
NuBBE_1255 	Non-Permeable
NuBBE_1256 	Permeable
NuBBE_1257 	Permeable
NuBBE_1258 	Permeable
NuBBE_1259 	Non-Permeable
NuBBE_125 	Non-Permeable
NuBBE_1260 	Non-Permeable
NuBBE_1261 	Non-Permeable
NuBBE_1263 	Non-Permeable
NuBBE_1264 	Non-Permeable
NuBBE_1265 	Permeable
NuBBE_1266 	Non-Permeable
NuBBE_1267 	Non-Permeable
NuBBE_1268 	Non-Permeable
NuBBE_1269 	Non-Permeable
NuBBE_126 	Non-Permeable
NuBBE_1270 	Non-Permeable
NuBBE_1271 	Permeable
NuBBE_1272 	Permeable
NuBBE_1273 	Permeable
NuBBE_1274 	Permeable
NuBBE_1275 	Permeable
NuBBE_1276 	Permeable
NuBBE_1277 	Non-Permeable
NuBBE_1278 	Permeable
NuBBE_1279 	Non-Permeable
NuBBE_127 	Non-Permeable
NuBBE_1280 	Permeable
NuBBE_1281 	Permeable
NuBBE_1282 	Permeable
NuBBE_1283 	Non-Permeable
NuBBE_1284 	Non-Permeable
NuBBE_1285 	Non-Permeable
NuBBE_1286 	Permeable
NuBBE_1287 	Permeable
NuBBE_1288 	Permeable
NuBBE_1289 	Permeable
NuBBE_128 	Non-Permeable
NuBBE_1290 	Permeable
NuBBE_1291 	Permeable
NuBBE_1292 	Permeable
NuBBE_1293 	Permeable
NuBBE_1294 	Permeable
NuBBE_1295 	Permeable
NuBBE_1296 	Permeable
NuBBE_1297 	Permeable
NuBBE_1298 	Non-Permeable
NuBBE_1299 	Permeable
NuBBE_129 	Non-Permeable
NuBBE_12 	Permeable
NuBBE_1300 	Non-Permeable
NuBBE_1301 	Non-Permeable
NuBBE_1302 	Non-Permeable
NuBBE_1303 	Non-Permeable
NuBBE_1304 	Permeable
NuBBE_1305 	Non-Permeable
NuBBE_1306 	Non-Permeable
NuBBE_1307 	Non-Permeable
NuBBE_1308 	Non-Permeable
NuBBE_1309 	Non-Permeable
NuBBE_130 	Non-Permeable
NuBBE_1310 	Non-Permeable
NuBBE_1311 	Non-Permeable
NuBBE_1312 	Non-Permeable
NuBBE_1313 	Permeable
NuBBE_1314 	Permeable
NuBBE_1315 	Permeable
NuBBE_1316 	Permeable
NuBBE_1317 	Permeable
NuBBE_1318 	Permeable
NuBBE_1319 	Permeable
NuBBE_131 	Non-Permeable
NuBBE_1320 	Permeable
NuBBE_1321 	Permeable
NuBBE_1322 	Permeable
NuBBE_1323 	Permeable
NuBBE_1324 	Permeable
NuBBE_1325 	Non-Permeable
NuBBE_1326 	Permeable
NuBBE_1327 	Non-Permeable
NuBBE_1328 	Non-Permeable
NuBBE_1329 	Non-Permeable
NuBBE_132 	Non-Permeable
NuBBE_1330 	Non-Permeable
NuBBE_1331 	Permeable
NuBBE_1332 	Permeable
NuBBE_1333 	Non-Permeable
NuBBE_1334 	Permeable
NuBBE_1335 	Permeable
NuBBE_1336 	Permeable
NuBBE_1337 	Permeable
NuBBE_1338 	Permeable
NuBBE_1339 	Permeable
NuBBE_133 	Permeable
NuBBE_1340 	Permeable
NuBBE_1341 	Permeable
NuBBE_1342 	Permeable
NuBBE_1343 	Permeable
NuBBE_1344 	Permeable
NuBBE_1345 	Permeable
NuBBE_1346 	Permeable
NuBBE_1347 	Permeable
NuBBE_1348 	Non-Permeable
NuBBE_1349 	Permeable
NuBBE_134 	Non-Permeable
NuBBE_1350 	Permeable
NuBBE_1351 	Permeable
NuBBE_1352 	Permeable
NuBBE_1353 	Permeable
NuBBE_1354 	Permeable
NuBBE_1355 	Non-Permeable
NuBBE_1356 	Permeable
NuBBE_1357 	Non-Permeable
NuBBE_1358 	Permeable
NuBBE_1359 	Permeable
NuBBE_135 	Non-Permeable
NuBBE_1360 	Non-Permeable
NuBBE_1361 	Permeable
NuBBE_1362 	Permeable
NuBBE_1363 	Permeable
NuBBE_1364 	Non-Permeable
NuBBE_1365 	Permeable
NuBBE_1366 	Non-Permeable
NuBBE_1367 	Non-Permeable
NuBBE_1368 	Permeable
NuBBE_1369 	Permeable
NuBBE_136 	Non-Permeable
NuBBE_1370 	Permeable
NuBBE_1371 	Permeable
NuBBE_1372 	Non-Permeable
NuBBE_1373 	Permeable
NuBBE_1374 	Non-Permeable
NuBBE_1375 	Permeable
NuBBE_1376 	Permeable
NuBBE_1377 	Permeable
NuBBE_1378 	Permeable
NuBBE_1379 	Permeable
NuBBE_137 	Non-Permeable
NuBBE_1380 	Permeable
NuBBE_1381 	Permeable
NuBBE_1382 	Permeable
NuBBE_1383 	Permeable
NuBBE_1384 	Permeable
NuBBE_1385 	Permeable
NuBBE_1386 	Permeable
NuBBE_1387 	Permeable
NuBBE_1388 	Permeable
NuBBE_1389 	Permeable
NuBBE_138 	Non-Permeable
NuBBE_1392 	Permeable
NuBBE_1394 	Permeable
NuBBE_1395 	Non-Permeable
NuBBE_1396 	Permeable
NuBBE_1397 	Permeable
NuBBE_1398 	Permeable
NuBBE_1399 	Permeable
NuBBE_139 	Non-Permeable
NuBBE_13 	Permeable
NuBBE_1400 	Permeable
NuBBE_1401 	Permeable
NuBBE_1403 	Permeable
NuBBE_1404 	Permeable
NuBBE_1405 	Permeable
NuBBE_1406 	Permeable
NuBBE_1407 	Non-Permeable
NuBBE_1408 	Non-Permeable
NuBBE_1409 	Permeable
NuBBE_1410 	Non-Permeable
NuBBE_1411 	Permeable
NuBBE_1412 	Permeable
NuBBE_1413 	Non-Permeable
NuBBE_1414 	Permeable
NuBBE_1415 	Permeable
NuBBE_1416 	Permeable
NuBBE_1417 	Permeable
NuBBE_1418 	Permeable
NuBBE_1419 	Permeable
NuBBE_141 	Non-Permeable
NuBBE_1420 	Permeable
NuBBE_1421 	Permeable
NuBBE_1422 	Permeable
NuBBE_1423 	Permeable
NuBBE_1424 	Permeable
NuBBE_1426 	Permeable
NuBBE_1427 	Permeable
NuBBE_1428 	Permeable
NuBBE_1429 	Permeable
NuBBE_142 	Non-Permeable
NuBBE_1430 	Permeable
NuBBE_1431 	Permeable
NuBBE_1432 	Permeable
NuBBE_1433 	Permeable
NuBBE_1434 	Non-Permeable
NuBBE_1435 	Permeable
NuBBE_1436 	Permeable
NuBBE_1437 	Permeable
NuBBE_1438 	Permeable
NuBBE_1439 	Permeable
NuBBE_143 	Permeable
NuBBE_1440 	Permeable
NuBBE_1441 	Non-Permeable
NuBBE_1442 	Permeable
NuBBE_1443 	Non-Permeable
NuBBE_1444 	Non-Permeable
NuBBE_1445 	Non-Permeable
NuBBE_1448 	Permeable
NuBBE_1449 	Permeable
NuBBE_144 	Permeable
NuBBE_1450 	Permeable
NuBBE_1451 	Permeable
NuBBE_1452 	Permeable
NuBBE_1453 	Permeable
NuBBE_1454 	Non-Permeable
NuBBE_1455 	Non-Permeable
NuBBE_1456 	Non-Permeable
NuBBE_1457 	Non-Permeable
NuBBE_1458 	Non-Permeable
NuBBE_1459 	Non-Permeable
NuBBE_145 	Permeable
NuBBE_1460 	Non-Permeable
NuBBE_1461 	Non-Permeable
NuBBE_1462 	Permeable
NuBBE_1463 	Permeable
NuBBE_1464 	Permeable
NuBBE_1465 	Permeable
NuBBE_1466 	Permeable
NuBBE_1467 	Permeable
NuBBE_1468 	Permeable
NuBBE_1469 	Permeable
NuBBE_146 	Permeable
NuBBE_1471 	Permeable
NuBBE_1472 	Permeable
NuBBE_1473 	Non-Permeable
NuBBE_1474 	Non-Permeable
NuBBE_1475 	Non-Permeable
NuBBE_1476 	Non-Permeable
NuBBE_1477 	Non-Permeable
NuBBE_1478 	Non-Permeable
NuBBE_1479 	Permeable
NuBBE_147 	Permeable
NuBBE_1480 	Permeable
NuBBE_1481 	Permeable
NuBBE_1482 	Non-Permeable
NuBBE_1483 	Non-Permeable
NuBBE_1484 	Permeable
NuBBE_1485 	Non-Permeable
NuBBE_1486 	Permeable
NuBBE_1487 	Permeable
NuBBE_148 	Non-Permeable
NuBBE_1492 	Permeable
NuBBE_1493 	Permeable
NuBBE_1494 	Permeable
NuBBE_1495 	Permeable
NuBBE_1496 	Permeable
NuBBE_1497 	Permeable
NuBBE_1498 	Permeable
NuBBE_1499 	Permeable
NuBBE_149 	Permeable
NuBBE_14 	Permeable
NuBBE_1500 	Permeable
NuBBE_1501 	Permeable
NuBBE_1502 	Permeable
NuBBE_1503 	Permeable
NuBBE_1504 	Permeable
NuBBE_1505 	Permeable
NuBBE_1506 	Permeable
NuBBE_1507 	Permeable
NuBBE_1508 	Permeable
NuBBE_1509 	Non-Permeable
NuBBE_150 	Permeable
NuBBE_1510 	Permeable
NuBBE_1511 	Permeable
NuBBE_1512 	Permeable
NuBBE_1513 	Permeable
NuBBE_1514 	Permeable
NuBBE_1515 	Permeable
NuBBE_1516 	Permeable
NuBBE_1517 	Permeable
NuBBE_1518 	Permeable
NuBBE_1519 	Permeable
NuBBE_151 	Non-Permeable
NuBBE_1520 	Permeable
NuBBE_1521 	Permeable
NuBBE_1522 	Permeable
NuBBE_1523 	Permeable
NuBBE_1524 	Permeable
NuBBE_1525 	Permeable
NuBBE_1526 	Permeable
NuBBE_1527 	Permeable
NuBBE_1528 	Permeable
NuBBE_1529 	Non-Permeable
NuBBE_152 	Permeable
NuBBE_1530 	Permeable
NuBBE_1537 	Permeable
NuBBE_1538 	Permeable
NuBBE_1539 	Permeable
NuBBE_153 	Permeable
NuBBE_1540 	Permeable
NuBBE_1541 	Permeable
NuBBE_1542 	Permeable
NuBBE_1543 	Permeable
NuBBE_1544 	Permeable
NuBBE_1545 	Permeable
NuBBE_1546 	Permeable
NuBBE_1547 	Permeable
NuBBE_1548 	Permeable
NuBBE_1549 	Permeable
NuBBE_154 	Non-Permeable
NuBBE_1550 	Permeable
NuBBE_1551 	Permeable
NuBBE_1552 	Permeable
NuBBE_1553 	Permeable
NuBBE_1554 	Permeable
NuBBE_1555 	Permeable
NuBBE_1556 	Permeable
NuBBE_1557 	Non-Permeable
NuBBE_1558 	Non-Permeable
NuBBE_1559 	Non-Permeable
NuBBE_155 	Permeable
NuBBE_1560 	Non-Permeable
NuBBE_1561 	Permeable
NuBBE_1562 	Permeable
NuBBE_1563 	Permeable
NuBBE_1564 	Permeable
NuBBE_1565 	Permeable
NuBBE_1566 	Permeable
NuBBE_1567 	Permeable
NuBBE_1569 	Permeable
NuBBE_156 	Permeable
NuBBE_1570 	Permeable
NuBBE_1571 	Permeable
NuBBE_1572 	Permeable
NuBBE_1573 	Permeable
NuBBE_1574 	Permeable
NuBBE_1575 	Permeable
NuBBE_1576 	Non-Permeable
NuBBE_1577 	Permeable
NuBBE_1578 	Permeable
NuBBE_1579 	Permeable
NuBBE_157 	Permeable
NuBBE_1580 	Non-Permeable
NuBBE_1581 	Non-Permeable
NuBBE_1582 	Non-Permeable
NuBBE_1583 	Permeable
NuBBE_1584 	Permeable
NuBBE_1585 	Permeable
NuBBE_1586 	Non-Permeable
NuBBE_1587 	Permeable
NuBBE_1588 	Permeable
NuBBE_1589 	Non-Permeable
NuBBE_158 	Permeable
NuBBE_1590 	Non-Permeable
NuBBE_1591 	Non-Permeable
NuBBE_1592 	Non-Permeable
NuBBE_1593 	Non-Permeable
NuBBE_1594 	Permeable
NuBBE_1595 	Permeable
NuBBE_1596 	Permeable
NuBBE_1597 	Permeable
NuBBE_1598 	Permeable
NuBBE_1599 	Permeable
NuBBE_159 	Non-Permeable
NuBBE_15 	Permeable
NuBBE_1600 	Permeable
NuBBE_1601 	Permeable
NuBBE_1602 	Permeable
NuBBE_1603 	Permeable
NuBBE_1604 	Permeable
NuBBE_1605 	Permeable
NuBBE_1606 	Permeable
NuBBE_1607 	Permeable
NuBBE_1608 	Permeable
NuBBE_1609 	Permeable
NuBBE_160 	Non-Permeable
NuBBE_1610 	Permeable
NuBBE_1611 	Non-Permeable
NuBBE_1612 	Permeable
NuBBE_1613 	Non-Permeable
NuBBE_1614 	Non-Permeable
NuBBE_1615 	Permeable
NuBBE_1616 	Permeable
NuBBE_1617 	Permeable
NuBBE_1618 	Permeable
NuBBE_1619 	Permeable
NuBBE_161 	Non-Permeable
NuBBE_1620 	Permeable
NuBBE_1621 	Permeable
NuBBE_1622 	Permeable
NuBBE_1623 	Permeable
NuBBE_1624 	Non-Permeable
NuBBE_1625 	Permeable
NuBBE_1626 	Permeable
NuBBE_1627 	Permeable
NuBBE_1628 	Permeable
NuBBE_1629 	Permeable
NuBBE_162 	Non-Permeable
NuBBE_1630 	Permeable
NuBBE_1631 	Permeable
NuBBE_1632 	Permeable
NuBBE_1633 	Permeable
NuBBE_1634 	Permeable
NuBBE_1635 	Permeable
NuBBE_1636 	Permeable
NuBBE_1637 	Non-Permeable
NuBBE_1638 	Non-Permeable
NuBBE_1639 	Non-Permeable
NuBBE_163 	Permeable
NuBBE_1640 	Non-Permeable
NuBBE_1641 	Non-Permeable
NuBBE_1642 	Non-Permeable
NuBBE_1643 	Permeable
NuBBE_1644 	Permeable
NuBBE_1645 	Permeable
NuBBE_1646 	Permeable
NuBBE_1647 	Permeable
NuBBE_1648 	Permeable
NuBBE_1649 	Permeable
NuBBE_164 	Permeable
NuBBE_1650 	Permeable
NuBBE_1651 	Non-Permeable
NuBBE_1652 	Permeable
NuBBE_1653 	Permeable
NuBBE_1654 	Permeable
NuBBE_1655 	Permeable
NuBBE_1656 	Non-Permeable
NuBBE_1657 	Permeable
NuBBE_1658 	Permeable
NuBBE_1659 	Permeable
NuBBE_165 	Permeable
NuBBE_1660 	Permeable
NuBBE_1661 	Permeable
NuBBE_1662 	Non-Permeable
NuBBE_1663 	Non-Permeable
NuBBE_1664 	Non-Permeable
NuBBE_1665 	Permeable
NuBBE_1666 	Permeable
NuBBE_1667 	Permeable
NuBBE_1668 	Permeable
NuBBE_1669 	Permeable
NuBBE_166 	Permeable
NuBBE_1670 	Non-Permeable
NuBBE_1671 	Permeable
NuBBE_1672 	Permeable
NuBBE_1673 	Permeable
NuBBE_1674 	Permeable
NuBBE_1675 	Permeable
NuBBE_1676 	Permeable
NuBBE_1677 	Permeable
NuBBE_1678 	Permeable
NuBBE_1679 	Permeable
NuBBE_167 	Permeable
NuBBE_1680 	Permeable
NuBBE_1681 	Permeable
NuBBE_1682 	Permeable
NuBBE_1683 	Permeable
NuBBE_1684 	Permeable
NuBBE_1685 	Permeable
NuBBE_1686 	Permeable
NuBBE_1687 	Permeable
NuBBE_1688 	Permeable
NuBBE_1689 	Permeable
NuBBE_168 	Permeable
NuBBE_1690 	Permeable
NuBBE_1691 	Permeable
NuBBE_1692 	Non-Permeable
NuBBE_1693 	Non-Permeable
NuBBE_1694 	Non-Permeable
NuBBE_1695 	Non-Permeable
NuBBE_1696 	Non-Permeable
NuBBE_1697 	Non-Permeable
NuBBE_1698 	Non-Permeable
NuBBE_1699 	Non-Permeable
NuBBE_169 	Permeable
