Name	Permeability
CHEMBL66567	Non-Permeable
CHEMBL322187	Permeable
CHEMBL1091770	Permeable
CHEMBL2113194	Permeable
CHEMBL381433	Non-Permeable
CHEMBL196974	Permeable
CHEMBL2369845	Non-Permeable
CHEMBL2172289	Non-Permeable
CHEMBL2017979	Permeable
CHEMBL287325	Non-Permeable
CHEMBL31665	Non-Permeable
CHEMBL2017867	Permeable
CHEMBL2113209	Non-Permeable
CHEMBL2113200	Non-Permeable
CHEMBL2113195	Non-Permeable
CHEMBL445816	Non-Permeable
CHEMBL382515	Non-Permeable
CHEMBL2113212	Permeable
CHEMBL371223	Permeable
CHEMBL373167	Permeable
CHEMBL25502	Permeable
CHEMBL481730	Permeable
CHEMBL2113196	Permeable
CHEMBL2113181	Permeable
CHEMBL2369831	Non-Permeable
CHEMBL590099	Permeable
CHEMBL285013	Non-Permeable
CHEMBL30667	Non-Permeable
CHEMBL1779410	Permeable
CHEMBL286979	Permeable
CHEMBL66749	Non-Permeable
CHEMBL66992	Permeable
CHEMBL277425	Non-Permeable
CHEMBL1253935	Non-Permeable
CHEMBL473443	Permeable
CHEMBL1093744	Permeable
CHEMBL269012	Non-Permeable
CHEMBL411148	Non-Permeable
CHEMBL467154	Non-Permeable
CHEMBL2369830	Non-Permeable
CHEMBL2369847	Non-Permeable
CHEMBL603708	Permeable
CHEMBL1765664	Non-Permeable
CHEMBL1765670	Non-Permeable
CHEMBL319646	Permeable
CHEMBL278093	Non-Permeable
CHEMBL467186	Non-Permeable
CHEMBL69498	Non-Permeable
CHEMBL1765668	Non-Permeable
CHEMBL549633	Permeable
CHEMBL1093367	Permeable
CHEMBL1094050	Permeable
CHEMBL561520	Permeable
CHEMBL25611	Permeable
CHEMBL288774	Non-Permeable
CHEMBL2370343	Non-Permeable
CHEMBL284120	Non-Permeable
CHEMBL427353	Permeable
CHEMBL589128	Permeable
CHEMBL328348	Non-Permeable
CHEMBL438609	Non-Permeable
CHEMBL1254117	Non-Permeable
CHEMBL114302	Permeable
CHEMBL1790713	Non-Permeable
CHEMBL200403	Non-Permeable
CHEMBL198630	Permeable
CHEMBL467378	Permeable
CHEMBL512105	Non-Permeable
